Raman Shift,sample_1.txt,sample_10.txt,sample_11.txt,sample_12.txt,sample_13.txt,sample_14.txt,sample_15.txt,sample_16.txt,sample_17.txt,sample_18.txt,sample_19.txt,sample_2.txt,sample_20.txt,sample_21.txt,sample_22.txt,sample_23.txt,sample_24.txt,sample_25.txt,sample_26.txt,sample_27.txt,sample_28.txt,sample_29.txt,sample_3.txt,sample_30.txt,sample_31.txt,sample_32.txt,sample_33.txt,sample_34.txt,sample_35.txt,sample_36.txt,sample_37.txt,sample_38.txt,sample_4.txt,sample_5.txt,sample_6.txt,sample_7.txt,sample_8.txt,sample_9.txt
297.39,1720,6013.6667,11508.6667,5842.6667,7757.6667,6836.3333,7024,7545,8018.3333,7603.6667,4570.6667,3278.6666,4603.3333,7587,5645.6667,6929.6667,8091,8594.3333,8381.3333,10022.3333,8869.3333,10303,4837.6667,7539,7243.3333,8867.6666,7459.6666,8810.6666,10106,12875.6666,15623,5321.6666,833.6667,197.3334,6340,6346.3333,9881.6667,8560
299.72,1732,5956.6667,11462,5789.3334,7733,6740.6667,6881.3334,7520.3334,8078,7575,4509,3212.3333,4568,7550,5606.6667,6873.6667,8129.6667,8571.6667,8399.6667,10005.6667,8807,10230.3334,4833.3333,7596.6667,7172,8841.3334,7431.6667,8836.6667,10111,12855.6667,15553.6667,5312.6667,817.6666,207,6257.3334,6217.3334,9955,8576.3334
302.05,1688.3333,5975,11431.6667,5776.6667,7656.6667,6741,6828,7514,8014.6666,7538.6666,4482.6666,3211,4556.3333,7466.6666,5582.3333,6810.6666,8099,8604,8326.6667,9988.6667,8859,10260,4761.6666,7548.6667,7180.6667,8841.3334,7382.6667,8741.6667,10080.6667,12925.6667,15509,5287.6667,770,180.3333,6232.3334,6185.3334,9853.3334,8479
304.38,1665.6666,5910,11420.6667,5761.6667,7671,6758.3334,6894.3334,7484.3333,7963.6666,7516.3333,4538.3333,3204.6666,4582.3333,7473.3333,5573,6818.3333,8046.6667,8529.6667,8339.6667,9912.3334,8785,10233,4797.3333,7449,7141,8778.3334,7371.3334,8722.6667,9971,12809,15518.3334,5141,777,191,6155.3334,6160.6667,9841.3334,8428.3334
306.71,1656.3333,5946.6667,11475,5794,7670.3334,6809.3334,6964.6667,7441,7934,7501.6667,4465.3334,3204.3333,4548,7477.6667,5502.3334,6716.6667,8060.6666,8536,8350.3333,9979.6666,8843,10286,4697.3333,7485.6666,7172.3333,8831,7345,8738.3333,9967.6666,12854,15587.3333,5281.3333,791.3333,203.6667,6210.3334,6164,9910.3334,8466.6667
309.04,1690,5933.3334,11504.6667,5775.3334,7651.3334,6793.3334,6931.3334,7450.6667,7991.3334,7536.3334,4442.3334,3235.3333,4566,7497,5544.3334,6806.3334,8118.6666,8582.3333,8359,9992.6666,8857.3333,10257.3333,4746.3334,7561.6666,7170,8836.6666,7407.6666,8745,9990.6666,12921,15606.3333,5185.3333,761.3333,194.6666,6180,6196.3334,9894.3334,8442.6667
311.36,1643,5896.6667,11488,5784.3334,7674.6667,6758.6667,6975.6667,7522.6667,8010.6667,7558.6667,4564.6667,3212.3333,4610,7422.6667,5491,6656.6667,8164,8518,8378,10026.3333,8837.6666,10352,4676.3333,7521.6666,7203.6666,8840.6666,7382.6666,8694.6666,10019.3333,12847.3333,15616.6666,5214.3333,809.6667,207.6666,6148,6129.3334,9883,8423
313.68,1645.6666,5867,11442.6666,5807,7586.3333,6772,6929.3333,7486.3334,8023.6667,7542.6667,4514.6667,3199.3333,4561,7279.6667,5431,6709,7991,8485,8326.3333,9978.3333,8861.3333,10284.6666,4743,7558,7193.6666,8831.6666,7337,8641,10000.6666,12794,15543.6666,5187.3333,792.6667,176.3333,6135.3333,6081.6666,9890.3333,8341.6666
316.01,1690,5921,11504,5763.6666,7670.6666,6822.3333,6940.3333,7441.3334,7943.6667,7549,4470.6667,3169.6667,4469.3334,7295.6667,5437,6657.3334,8066,8540.3333,8313,10018.6667,8902.6667,10288.3333,4638.6667,7548,7177.6667,8796,7381.6667,8605.3333,9969.6667,12876,15630,5173.3333,797.6667,184,6141.3333,6099,9882.3333,8401.6666
318.33,1661.6666,5820.3334,11486.3334,5799.6667,7676.3334,6794.3334,6934.3334,7537.3334,8034.6667,7604,4490,3175.6666,4521.6667,7324.3334,5477,6728.3334,8068,8533.6667,8381.6667,10081.3334,8898.6667,10348.6667,4667,7600.6667,7256.3334,8795.6667,7329,8658.6667,9963.6667,12728.3334,15600,5134.3334,761.6667,159.3333,6115.6667,6028.3334,9834.3334,8375
320.65,1618.3334,5908.6666,11469,5826,7633,6815,6888,7525.3333,8000,7554.6666,4544,3116,4547,7319,5436,6702,8051.6667,8517.6667,8343,10008,8930.6667,10334.6667,4629,7539,7174,8860.3333,7369,8641,9953.6667,12861,15628,5149,790.6666,226,6121.6666,6072.6666,9818,8428
322.97,1634.6666,5815.6667,11557.6667,5809.3333,7710,6816,6994,7512,8043.6667,7523.3334,4504.3334,3120.3334,4518.3334,7273,5412.6667,6648.6667,8132.3334,8510.3334,8394,10059,8963.6667,10377,4633.6667,7622.3334,7237.3334,8838.6667,7380.3334,8590.3334,9924.3334,12910,15645.6667,5166.3334,745,196,6096.6667,6055.3333,9788.6667,8313.6667
